x	y
0	0
0.1	0.105170918
0.2	0.221402758
0.3	0.349858808
0.4	0.491824698
0.5	0.648721271
0.6	0.8221188
0.7	1.013752707
0.8	1.225540928
0.9	1.459603111
1	1.718281828
1.1	2.004166024
1.2	2.320116923
1.3	2.669296668
1.4	3.055199967
1.5	3.48168907
1.6	3.953032424
1.7	4.473947392
1.8	5.049647464
1.9	5.685894442
2	6.389056099
2.1	7.166169913
2.2	8.025013499
2.3	8.974182455
2.4	10.02317638
2.5	11.18249396
2.6	12.46373804
2.7	13.87973172
2.8	15.44464677
2.9	17.17414537
3	19.08553692
3.1	21.19795128
3.2	23.5325302
3.3	26.11263892
3.4	28.96410005
3.5	32.11545196
3.6	35.59823444
3.7	39.44730436
3.8	43.70118449
3.9	48.40244911
4	53.59815003
4.1	59.3402876
4.2	65.68633104
4.3	72.6997937
4.4	80.45086866
4.5	89.0171313
4.6	98.48431564
4.7	108.9471725
4.8	120.5104175
4.9	133.2897797
5	147.4131591
5.1	163.0219073
5.2	180.2722419
5.3	199.33681
5.4	220.4064162
5.5	243.6919323
5.6	269.4264074
5.7	297.867401
5.8	329.2995599
5.9	364.0374679
6	402.4287935
6.1	444.8577701
6.2	491.7490411
6.3	543.5719101
6.4	600.8450379
6.5	664.141633
6.6	734.0951892
6.7	811.4058252
6.8	896.8472917
6.9	991.2747156
7	1095.633158
7.1	1210.967074
7.2	1338.430764
7.3	1479.299928
7.4	1634.98443
7.5	1807.042414
7.6	1997.195895
7.7	2207.347992
7.8	2439.601978
7.9	2696.282328
8	2979.957987
8.1	3293.468075
8.2	3639.950307
8.3	4022.872394
8.4	4446.066748
8.5	4913.76884
8.6	5430.659591
8.7	6001.912217
8.8	6633.244006
8.9	7330.973539
9	8102.083928
9.1	8954.292703
9.2	9896.129059
9.3	10937.01921
9.4	12087.38073
9.5	13358.72683
9.6	14763.78157
9.7	16316.6072
9.8	18032.74493
9.9	19929.37044
10	22025.46579
